,closest_well_id,distance_to_closest_well
0,55137,0.11119839710588564
1,2755,0.04795659777272816
2,62350,0.09067771851438927
3,66083,0.08906204289733051
4,36166,0.3735735251722051
5,35856,0.04606444525630074
6,28706,0.1908920685436625
7,5753,0.05884849173776476
8,65009,1.1557368262895018
9,33484,0.8193825172254616
10,2128,0.10440583445065049
11,72608,0.1632866929580432
12,5473,0.012690524042981344
13,49742,0.21288178914474315
14,60972,0.26589492133183357
15,25578,0.14402706970364573
16,25301,0.21171476254368815
17,47303,0.22736729470424225
18,15004,0.4528125959505304
19,56514,0.18376398831710383
20,50834,0.4577298009993513
22,45725,0.1984040076744188
23,26208,0.22940890628058488
24,46557,0.24597093077425636
25,1855,0.11148496041652443
26,15957,0.16468214718197904
27,15787,0.13476657694369526
28,48307,0.21959590484814073
29,54569,0.1795787485973221
30,24085,0.4560569475454287
31,64999,0.05312426081623105
32,20887,0.3000217617910603
33,69839,0.05955726421808799
34,13642,0.27139112157617706
35,25543,0.024289402974279357
36,49533,0.045279443593757976
37,3761,0.3381380983852232
38,16367,0.05064642085506767
39,17736,0.1439210732812177
40,39047,0.5475274420139483
41,45564,0.12521008885775514
42,20895,0.10595702490381971
43,11516,0.005321209369562304
44,62353,0.14578932072275616
45,57563,0.5242005339353947
46,55130,0.19725975813247815
47,23451,0.04205972584538057
48,54484,0.12480652652869392
49,46242,0.0969641909516813
50,5408,0.3174045269862852
51,14679,0.08766122198179076
52,23328,0.21222884253580576
54,21654,0.06730106921882051
55,21898,0.15634910070648134
56,39749,0.32722889112912024
57,9886,0.01488184999489576
58,31448,0.21320821847740412
59,19165,0.3902610159959962
60,62696,0.0865616282542602
61,40514,0.3056854993070357
62,46042,0.09436988853445137
63,39133,0.1673487696486254
64,14801,0.3003237809461797
65,27844,0.24405067500172373
66,202,0.1556782575467323
67,313,0.23051108787044503
68,49677,0.5472004581908612
69,12468,0.2551398050377208
70,33936,0.23752191129974187
71,13963,0.18613746054188032
72,16882,0.209483431999291
73,32112,0.500487848729339
74,44398,0.11715632669825915
75,16844,0.30029746597993484
76,11163,0.1262737634968447
77,65747,0.012363712694718748
78,46048,2.19796378626457
79,72848,0.2050976301576489
80,16137,0.07896944152963724
81,33134,0.09462901670945632
82,21963,0.13681286665048664
83,47128,0.7251875310668768
84,15752,0.23017806148508188
85,44572,0.5343735536591253
86,48280,0.41744715744035094
87,55098,0.09098271417023049
88,73440,0.030976476212494414
89,27886,0.09992850742769334
90,23635,0.17743678550675576
91,37074,0.005716246984035968
92,3750,0.046850220412229235
93,65705,0.15761682250111822
94,32526,0.1948328932163947
95,20859,0.11199276844502945
96,35096,0.27497121711877115
97,72179,0.04646039849002496
98,49668,0.21010156112393633
99,8054,0.1572506026907852
100,54914,0.5225055568551497
101,69256,0.2733055117777109
102,52773,0.47272821876896315
103,60867,0.14701510568444381
104,29352,0.22614499518470846
105,9258,0.5750210357891371
106,60896,0.5031328813378144
107,35799,0.21123772726953904
108,55040,0.3473408691830349
109,1433,0.08563889357131423
110,32857,0.20486437594436244
111,30095,0.08214103110991097
112,48736,2.061882558979477
113,25177,0.23134128192644138
114,595,0.045870459511136816
115,49630,0.34267465077905956
116,47725,0.006534321075254524
117,50451,0.3093517648975209
118,3929,0.1129021676308074
119,32969,0.14282756219982368
120,37018,0.15340411090114922
121,42422,0.7156588687435196
122,44191,0.7476534495541297
123,61398,0.014598796478732336
124,59044,0.17511809789839575
125,47407,0.00880868631544542
126,47400,0.05311744803151103
127,13679,0.21580884412542012
128,64295,0.5964191636194616
129,24323,0.4636478049562742
130,42797,1.126716109055612
131,29445,0.06865664901688587
132,25103,0.07092675158634931
133,71161,1.3177555533160494
134,5403,0.13190765801342297
135,55311,0.20115760321889492
136,11466,0.9741477258461545
137,7437,0.006077971286306846
138,67635,0.25603602276629267
139,51177,0.09405145858010262
140,18047,0.11772846694725539
141,64363,0.28907835749978283
142,8557,2.7335753104244427
143,4930,0.030372389267476336
144,57211,0.18390557756980977
145,17862,0.04004889101251759
146,35228,1.026050053345728
147,19198,0.23761378884449905
148,14273,0.0862464053402795
149,44694,0.09067585727605192
150,9606,0.2600691379623184
151,11043,0.1638562931537384
152,57499,0.1083138453641095
153,13681,0.14402944952795252
154,6717,0.18107391539455425
155,65673,0.40442382520388537
156,4690,0.08114940638901964
157,26393,0.09650229340251344
158,22589,0.5270923992960855
159,28415,0.5841650218153958
160,55928,0.12166155068968922
161,183,0.1507252770344048
162,63283,0.15116241010566048
163,8475,0.1712997888354208
164,49621,0.07981957922674088
165,4406,0.002311925296602975
166,39823,0.033031171247801985
167,3380,0.12118178563845781
169,31844,0.17855254010527602
170,49728,0.10914538147278666
171,63391,0.11032380178248574
172,68412,0.09058564695186062
173,48956,0.13582526531516076
174,8229,0.04257658176692065
175,25732,0.185397223219051
176,29975,1.0002279140487238
