,total_wells_within_5_mils,close_functional_wells,close_non_functional_wells,close_functional_needs_repair_wells,close_unknown_wells,close_known_wells
36879,428,196,136,11,85,343
36880,40,30,1,2,7,33
36881,14,8,4,1,1,13
36882,363,196,91,15,61,302
36883,43,31,3,2,7,36
36884,23,15,3,0,5,18
36885,666,386,150,18,112,554
36886,68,41,8,8,11,57
36887,422,239,95,0,88,334
36888,170,81,54,3,32,138
36889,85,64,5,4,12,73
36890,32,21,9,0,2,30
36891,3,1,0,0,2,1
36892,16,3,7,0,6,10
36893,136,90,16,3,27,109
36894,110,31,39,16,24,86
36895,17,7,7,0,3,14
36896,116,49,32,14,21,95
36897,240,17,181,0,42,198
36898,74,16,16,30,12,62
36899,98,43,37,4,14,84
36900,82,43,21,3,15,67
36901,665,390,141,17,117,548
36902,45,29,7,0,9,36
36903,64,37,13,0,14,50
36904,90,55,19,3,13,77
36905,18,10,7,0,1,17
36906,32,15,10,0,7,25
36907,247,103,15,82,47,200
36908,55,21,23,0,11,44
36909,17,14,3,0,0,17
36910,455,157,156,47,95,360
36911,200,88,54,20,38,162
36912,65,19,16,16,14,51
36913,73,30,20,1,22,51
36914,30,11,13,0,6,24
36915,7,5,0,0,2,5
36916,36,14,17,0,5,31
36917,106,62,23,0,21,85
36918,100,84,2,3,11,89
36919,82,48,12,3,19,63
36920,35,26,0,0,9,26
36921,50,16,4,21,9,41
36922,225,53,24,111,37,188
36923,629,355,153,19,102,527
36924,5,0,3,0,2,3
36925,89,38,20,8,23,66
36926,130,99,3,0,28,102
36927,148,68,52,5,23,125
36928,9,6,2,0,1,8
36929,209,89,66,19,35,174
36930,64,47,8,0,9,55
36931,11,5,5,0,1,10
36932,433,214,79,51,89,344
36933,88,44,26,0,18,70
36934,113,78,18,0,17,96
36935,119,25,64,0,30,89
36936,18,7,5,0,6,12
36937,58,36,14,0,8,50
36938,99,45,35,4,15,84
36939,326,89,154,7,76,250
36940,78,22,41,2,13,65
36941,46,18,20,0,8,38
36942,66,37,18,0,11,55
36943,92,32,39,9,12,80
36944,37,6,26,0,5,32
36945,32,21,9,0,2,30
36946,198,78,37,32,51,147
36947,241,163,18,3,57,184
36948,343,176,94,5,68,275
36949,8,3,3,0,2,6
36950,231,153,60,2,16,215
36951,22,5,15,0,2,20
36952,24,14,5,0,5,19
36953,264,98,110,6,50,214
36954,91,36,21,8,26,65
36955,184,91,32,29,32,152
36956,278,95,125,14,44,234
36957,71,25,29,0,17,54
36958,58,47,0,0,11,47
36959,34,22,6,0,6,28
36960,32,21,9,0,2,30
36961,69,59,0,0,10,59
36962,104,27,49,0,28,76
36963,82,55,7,1,19,63
36964,25,18,3,0,4,21
36965,103,48,36,0,19,84
36966,34,20,7,2,5,29
36967,30,12,14,0,4,26
36968,8,3,2,0,3,5
36969,52,23,19,2,8,44
36970,37,12,20,1,4,33
36971,108,33,55,0,20,88
36972,92,60,16,0,16,76
36973,79,12,51,0,16,63
36974,36,25,5,0,6,30
36975,76,34,22,3,17,59
36976,14,2,12,0,0,14
36977,22,1,17,0,4,18
36978,70,37,14,0,19,51
36979,15,4,5,1,5,10
36980,24,18,0,0,6,18
36981,259,62,48,106,43,216
36982,109,29,60,0,20,89
36983,46,18,20,0,8,38
36984,8,0,5,0,3,5
36985,491,247,94,51,99,392
36986,66,21,30,2,13,53
36987,46,18,20,0,8,38
36988,71,43,12,2,14,57
36989,197,118,14,23,42,155
36990,34,12,13,2,7,27
36991,8,1,3,2,2,6
36992,73,38,18,4,13,60
36993,124,33,68,0,23,101
36994,14,4,2,5,3,11
36995,113,68,21,7,17,96
36996,26,16,6,4,0,26
36997,23,5,15,0,3,20
36998,61,34,5,7,15,46
36999,40,31,6,3,0,40
37000,195,99,34,29,33,162
37001,220,73,82,15,50,170
37002,51,28,10,0,13,38
37003,141,67,37,0,37,104
37004,6,2,3,0,1,5
37005,109,34,53,1,21,88
37006,6,6,0,0,0,6
37007,354,189,93,15,57,297
37008,45,31,9,0,5,40
37009,141,77,25,7,32,109
37010,32,15,8,0,9,23
37011,61,11,40,0,10,51
37012,18,9,4,2,3,15
37013,177,101,31,0,45,132
37014,69,34,17,2,16,53
37015,142,86,29,0,27,115
37016,97,24,57,2,14,83
37017,12,3,4,0,5,7
37018,139,108,5,0,26,113
37019,273,20,194,2,57,216
37020,37,8,18,3,8,29
37021,59,37,9,1,12,47
37022,19,7,4,1,7,12
37023,52,12,23,4,13,39
37024,72,24,28,8,12,60
37025,401,187,116,13,85,316
