4,misha
5,moa
6,igegu
7,chambo center
9,rwenkende
10,mipeko b
11,mlete
21,14kambalage
22,mgeduli
25,kiwida
28,msudu
34,utende a
37,chakwe
39,nyamilembi b
41,lembuka
46,mkapita
58,ants a
61,kwemakame
64,kihau
69,kibingo
74,kisuma
75,kagondo kaifo
77,olbili shuleni
78,antakaye
85,center a
98,baraza b
100,ukereni
102,bavunja b
105,longoni
112,msasa a
115,nyakalalo
117,mumayale
118,makundusi
119,magunga
121,omukigando
125,urambo magharibi kaskazini
128,sangilwa
129,nyashishi
130,kikomakoma
132,ilonjero
133,kundikili magharibi b
136,kamsunte
137,mkakala
138,nyakanazi kati
142,mbilani
144,tomondo
146,kashenge
147,manga a
150,kibumayi
151,ndola
152,tundwi centre
157,ishilanga
159,mtandi
161,kyafuma
169,mkapita
175,msanzi kati
179,msikiti mkuu
180,isakalilo c
183,kyafuma
184,kurungeni
185,mwiluti
188,loleza
197,kilawoyi
199,ishigwandama
206,mogege
208,gongoni
210,igelehedza b
224,goba
225,mumayale
230,ngombezi
234,sharama
236,idubula
238,mazizini
239,putini
241,kazunguti a
242,mlemu
249,kiwambo mjini
254,ipepo kat
258,isakalilo c
259,mbingilwa
261,nkambara
263,buswalila
270,nkokwa
271,isungilundi
272,mkukwe
273,selemi
274,nyaruyoba
276,liwola
277,zingibali
279,kasula
281,kumweluro
285,14kambalage
297,buyoga
299,mijelejele
300,kumutumba
302,ishikija
308,mingo
309,kiegeani
310,nahoro a
312,ndanganyika
314,marumbo
316,nampako
317,mbae mashariki
321,14kambalage
322,reli
328,ng'ombo kati
330,nachiungo
332,isoka
333,muhida
339,mnokola
340,jineri
341,makunganya
345,msengoni
346,14kambalage
348,bastena
349,ngerengere kaskazini
359,matadi a
361,chakwale mjini
372,godown a
378,tuleane
386,senga
387,kili
390,isegeng'e
391,nampako
394,usesi
406,kabila
407,msasani
408,doma stand
409,ngalinje
410,upenzi
416,nyanzenda center
418,kilosa sido
424,dimani
425,manushi
427,kabera
431,buchama
435,ginja
437,mpera b
439,ngorogoro
441,kilimani hewa
444,kaduduma
445,nangurukuru
446,sawa
451,lutumbi
453,marurani kati
454,ishigwandama
457,kibedagogolo
458,namatinganya
463,bizivilinzamba a
464,chamti
466,tuleane
470,mahokoi
471,mtapenda b kati
472,mwansosela
473,irangali
474,nyamahawa
476,mgomba kaskazini
478,mhaka
481,zunzuli
491,itindambogo
492,kikunyu
495,mtwara
499,mchanga wa kichwa b
501,mbede a
502,muhida
508,c
514,mshewaji
517,kalimaji
518,zobogo
531,kibosho
533,ushirika
536,dumanang
542,mwela
546,bashnet kati
550,mbingilwa
551,utemini
552,igula
554,chiwindi
558,mwabakali
561,kiwambo mjini
562,uhindini
566,kujitegemea
569,nahoro a
571,shamabu
573,mlege
576,kizapala
578,umbwateni
579,mahokoi
580,isanja
582,kisanga mjini
583,lumbila kati
585,nakibondo
587,kizangaze
588,maduka
590,nyamarasi
600,mwakunduli
603,nyashimba
605,katapulo
606,gulioni
608,mkwakwani
610,kanalunwa
614,bukurwa
617,makando
619,izengabasumba
622,kipera b
625,lukobe
626,kimawe
628,msikiti mkuu
629,mkole a
630,malunga
635,kotela magharibi
636,mbwamaji
638,jiungeni
639,mrieni
649,maboma
652,mwinuko
653,kamazi
654,kumsenga
656,kili
660,gulioni
663,mitanga
666,uswahilini
667,mwanhuli
669,kwaboli
671,ndalambo kati
673,lupanga a
674,mkwakwani
686,kagenyi b
687,wame
688,bastena
690,bulunde
693,silamila a
696,mkwaja
697,14kambalage
698,ngalimila a
701,muningori
704,ubamba b
705,ngando
706,mtwara b
709,ruaha kati
710,kisanga mjini
711,mkole a
715,malekano
716,mrieni
720,14kambalage
722,mtwara
724,mwigumbi centre
727,ngasini
732,itugutu
733,14kambalage
734,mpande a
735,arusha chini
739,azimio
740,omukashenyi
741,itaba
743,ichimbo
745,itekesha b
747,magegere
754,mpondomo
755,14kambalage
757,tangu
760,galama
763,isale
766,chinyika
768,kwamba
773,kidalini
774,chikongo
783,shimbwe kati
784,mbunju
785,butwale
786,kwigena
788,busengete
795,madirana a
800,mzenga a
801,mbuyuni b
802,center a
804,misegesi
810,raha leo
815,kikonga
819,kibana
821,nandembo
824,isingiro stati
827,mbuga b
829,mosi
833,kilida
834,leganga
838,ngudu
839,14kambalage
841,minsukumilo
842,nemba
850,mbingilwa
851,izigira
853,keko
855,center magharibi
858,viguru
864,mwabomba
865,sautimoja
870,mawei
872,katerero
873,mabaoni
879,mungoma
884,vikuge
885,mbuga
891,dindila
892,isanja
898,kikwe
901,isale
903,losonga
907,kwatorondo
908,buhanga
909,itaga
915,nyakabanga
918,kili
920,mtwara
923,kasemi
924,ngogomoni
926,igogo
932,mahokoi
933,namalema
935,amuhama
937,tulieni b
939,14kambalage
941,sayaka magharibi
942,maring'a juu
943,bashnet kati
945,parestina
946,holo
949,mkwalia
951,mogitu.a.
954,mlangalanga
955,buswalila
957,balangai
959,mlete
961,ikigijo
971,14kambalage
972,kaseni
